timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478106832.73,-0.718068,0.201992,-2.388991,0.110484,-0.035344,-0.003035,-0.644555,-0.200621,-0.737767,0.063317,0.041853,-0.007045,-39.400040,2.382439,-11.230896,,,,,,
,,,,,,,,,,,,,,,,37.352924,-122.034880,50.476734,-1.000000,-1.000000,1478106813.81
,,,,,,,,,,,,,,,,37.352924,-122.034880,50.476734,-1.000000,-1.000000,1478106804.81
1478106832.75,-0.718031,0.203534,-2.387788,0.130535,-0.086458,-0.007275,-0.644323,-0.202131,-0.737557,0.044790,0.024061,-0.017539,-39.412178,2.353354,-11.194376,,,,,,
,,,,,,,,,,,,,,,,37.352924,-122.034880,50.476734,-1.000000,-1.000000,1478106813.81
1478106832.77,-0.720740,0.205719,-2.385508,0.171883,-0.121583,0.017297,-0.646026,-0.204271,-0.735475,0.016677,0.019060,-0.010939,-39.408768,2.334764,-11.210260,,,,,,
1478106832.79,-0.724078,0.208432,-2.382928,0.190972,-0.154689,-0.001858,-0.648107,-0.206926,-0.732897,0.037954,-0.024123,-0.010129,-39.408768,2.334764,-11.210260,,,,,,
1478106832.81,-0.726747,0.212508,-2.380396,0.214099,-0.195138,0.007612,-0.649496,-0.210912,-0.730528,0.054021,-0.025614,-0.027132,-39.458637,2.279648,-11.044964,,,,,,
1478106832.83,-0.731913,0.216015,-2.376699,0.272496,-0.238904,0.014097,-0.652762,-0.214339,-0.726609,0.074683,0.004500,-0.025207,-39.494972,2.184091,-10.933855,,,,,,
1478106832.85,-0.735247,0.220690,-2.373269,0.284084,-0.270818,0.017304,-0.654502,-0.218903,-0.723678,0.087592,0.006852,-0.037843,-39.572212,2.111073,-10.665609,,,,,,
,,,,,,,,,,,,,,,,37.352738,-122.034973,50.476734,-1.000000,-1.000000,1478106832.64
1478106832.87,-0.741939,0.224896,-2.369025,0.307456,-0.299699,-0.005039,-0.658702,-0.223005,-0.718596,0.076579,0.014753,-0.046052,-39.572212,2.111073,-10.665609,,,,,,
1478106832.89,-0.749024,0.230624,-2.364793,0.379938,-0.318271,-0.062455,-0.662896,-0.228585,-0.712964,0.084237,0.012429,-0.028232,-39.636791,1.992074,-10.446470,,,,,,
,,,,,,,,,,,,,,,,37.352694,-122.034962,50.476734,-1.000000,-1.000000,1478106832.66
1478106832.91,-0.755741,0.238196,-2.360430,0.466386,-0.308210,-0.126234,-0.666464,-0.235950,-0.707215,0.124975,0.022907,-0.003600,-39.636791,1.992074,-10.446470,,,,,,
1478106832.93,-0.764514,0.248083,-2.354847,0.572686,-0.377800,-0.152703,-0.670995,-0.245546,-0.699624,0.118016,0.039278,0.004479,-39.787216,1.630933,-9.924196,,,,,,
1478106832.95,-0.773088,0.259692,-2.348457,0.679581,-0.288123,-0.220794,-0.674933,-0.256783,-0.691757,0.193045,0.026345,-0.000900,-39.865704,1.393499,-9.641371,,,,,,
1478106832.97,-0.782449,0.275981,-2.342487,0.811235,-0.516943,-0.419874,-0.678339,-0.272491,-0.682352,0.238245,0.058044,0.038141,-39.865704,1.393499,-9.641371,,,,,,
1478106832.99,-0.797278,0.296560,-2.334728,1.108046,-0.656562,-0.506762,-0.684225,-0.292232,-0.668159,0.327292,0.172634,0.161246,-39.979198,0.809518,-9.229340,,,,,,
1478106833.01,-0.811508,0.322451,-2.323358,1.450140,-0.351844,-0.570020,-0.687944,-0.316893,-0.652926,0.315187,0.220152,0.233752,-40.155270,-0.067451,-8.468887,,,,,,
1478106833.03,-0.823215,0.355826,-2.307522,1.730970,-0.325306,-0.848692,-0.687399,-0.348365,-0.637279,0.409979,0.200995,0.287014,-40.155270,-0.067451,-8.468887,,,,,,
,,,,,,,,,,,,,,,,37.352966,-122.034824,46.343109,-1.000000,-1.000000,1478106832.83
1478106833.05,-0.832648,0.396362,-2.293609,1.987931,-0.136050,-1.133759,-0.682367,-0.386065,-0.620749,0.590738,0.315997,0.241156,-40.229309,-1.253284,-8.012754,,,,,,
1478106833.07,-0.842552,0.446322,-2.276037,2.407153,-0.140937,-1.437769,-0.673232,-0.431651,-0.600363,0.581603,0.361583,0.220770,-40.229309,-1.253284,-8.012754,,,,,,
1478106833.09,-0.855027,0.503710,-2.256731,2.606595,-0.206418,-1.671853,-0.660867,-0.482678,-0.574697,0.701517,0.428860,0.344304,-40.163918,-3.801729,-7.521893,,,,,,
1478106833.11,-0.871971,0.566799,-2.238462,2.633776,-0.528110,-2.035367,-0.645877,-0.536934,-0.542719,0.666156,0.320626,0.146220,-40.043900,-5.446797,-7.140778,,,,,,
1478106833.13,-0.894579,0.635486,-2.225633,2.572790,-0.882832,-2.500134,-0.627687,-0.593568,-0.503672,0.695955,0.332826,0.083994,-39.794243,-7.825686,-6.272869,,,,,,
1478106833.15,-0.921043,0.710972,-2.216744,2.625940,-1.143003,-2.886893,-0.603328,-0.652570,-0.458418,0.710231,0.388578,0.133009,-39.209991,-11.265854,-4.452992,,,,,,
1478106833.17,-0.949357,0.791460,-2.207427,2.667585,-0.974058,-3.125458,-0.571412,-0.711380,-0.409179,0.587449,0.328003,0.291107,-39.209991,-11.265854,-4.452992,,,,,,
1478106833.19,-0.964768,0.876411,-2.198266,2.727161,-0.023919,-3.401096,-0.525956,-0.768447,-0.364500,0.475144,0.310332,0.314756,-37.869415,-15.704132,-1.860065,,,,,,
1478106833.21,-0.956895,0.966684,-2.189515,2.824857,1.173962,-3.638246,-0.464313,-0.823007,-0.327221,0.182498,0.121789,0.253826,-36.359070,-19.008642,-0.928396,,,,,,
1478106833.23,-0.922739,1.062020,-2.187340,2.863434,2.182493,-3.950134,-0.388352,-0.873341,-0.294038,0.073960,-0.136241,0.207810,-36.359070,-19.008642,-0.928396,,,,,,
1478106833.25,-0.843446,1.164005,-2.208925,2.876910,3.494454,-4.431412,-0.295537,-0.918395,-0.263074,0.051702,-0.280610,0.194379,-33.379726,-23.845430,-1.166742,,,,,,
1478106833.27,-0.689873,1.269562,-2.281777,2.963744,4.702406,-4.558829,-0.188831,-0.954971,-0.228852,0.039997,-0.592194,0.125595,-30.322910,-27.554703,-2.330575,,,,,,
1478106833.29,-0.422863,1.368400,-2.446306,3.147823,5.718551,-4.208764,-0.082492,-0.979588,-0.183312,0.047595,-0.606731,0.166756,-30.322910,-27.554703,-2.330575,,,,,,
1478106833.31,0.140612,1.444349,-2.894745,3.109607,6.078331,-4.137352,0.017674,-0.992016,-0.124866,0.165782,-0.558902,0.181949,-25.941963,-31.534616,-4.093256,,,,,,
1478106833.33,1.090806,1.442426,2.551309,2.746022,5.841637,-4.346892,0.113552,-0.991772,-0.059115,0.293598,-0.720234,0.112185,-22.678755,-33.835911,-4.997713,,,,,,
1478106833.35,1.596231,1.368369,2.156722,2.075153,5.714149,-4.128598,0.200983,-0.979581,0.005113,0.603659,-0.955416,-0.132982,-17.151535,-36.842644,-5.711078,,,,,,
1478106833.37,1.800154,1.292061,2.053228,1.475788,4.641776,-3.273423,0.267935,-0.961404,0.062554,0.696420,-0.885337,-0.292931,-17.151535,-36.842644,-5.711078,,,,,,
1478106833.39,1.899312,1.237488,2.030427,0.837954,3.436231,-2.031356,0.309675,-0.944965,0.105558,0.955172,-0.725796,-0.286329,-12.152758,-38.732113,-6.025454,,,,,,
1478106833.41,1.954632,1.214034,2.024464,0.337795,1.885702,-0.548322,0.323830,-0.937033,0.130784,0.453163,-0.658121,-0.423249,-12.152758,-38.732113,-6.025454,,,,,,
1478106833.43,1.982513,1.212012,2.020982,-0.056085,0.958886,0.187046,0.321794,-0.936324,0.140519,0.184462,-0.576890,-0.357758,-9.168605,-39.519630,-6.189299,,,,,,
1478106833.45,1.993108,1.223015,2.023757,-0.386960,0.468633,0.631740,0.310871,-0.940131,0.139689,-0.023822,-0.395196,-0.294840,-9.262290,-39.439468,-6.550622,,,,,,
